,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
364,georgetown,5.4112,100.3354,29.97,83,40,4.12,MY,1693470989
365,solnechnyy,50.7214,136.6319,14.72,92,100,0.15,RU,1693471155
366,severnoye,56.3491,78.3619,17.06,89,100,4.92,RU,1693471156
367,chipinge,-20.1883,32.6236,21.88,36,0,0.97,ZW,1693471117
368,la passe,45.5549,-0.8967,20.57,80,100,5.41,FR,1693471156
369,isangel,-19.55,169.2667,23.75,95,56,4.97,VU,1693471156
370,owando,-0.4819,15.8999,31.11,49,20,2.34,CG,1693471157
371,nadym,65.5333,72.5167,16.85,42,100,6.29,RU,1693471158
372,mangrol,21.1167,70.1167,28.9,60,33,3.1,IN,1693471158
373,iquique,-20.2208,-70.1431,18.02,77,41,1.16,CL,1693471159
374,san martin,-33.081,-68.4681,11.3,42,63,4.0,AR,1693471159
375,tafuna,-14.3358,-170.72,25.97,89,75,11.32,AS,1693471159
376,qashar,53.3906,62.9297,14.88,74,97,1.15,KZ,1693471160
377,colares,38.7992,-9.4469,22.16,73,20,19.67,PT,1693471161
378,pyin oo lwin,22.0333,96.4667,24.89,81,88,2.07,MM,1693471161
379,talnakh,69.4865,88.3972,11.23,45,39,1.29,RU,1693471161
380,chebba,35.2372,11.115,27.36,67,73,6.37,TN,1693471163
381,salym,60.0625,71.4789,19.58,73,97,5.56,RU,1693471163
382,ust'-ilimsk,58.0006,102.6619,24.01,50,100,2.67,RU,1693471164
383,wangaratta,-36.3667,146.3333,11.84,86,75,2.34,AU,1693471164
384,katsuren-haebaru,26.3369,127.8719,32.21,76,40,5.14,JP,1693471165
385,bodaybo,57.8506,114.1933,22.83,70,100,1.47,RU,1693471165
386,bandarbeyla,9.4942,50.8122,33.41,42,0,9.76,SO,1693471165
387,kariba,-16.5167,28.8,25.38,31,0,0.48,ZW,1693471166
388,mingora,34.7758,72.3625,30.97,51,5,2.73,PK,1693471167
389,puerto armuelles,8.2833,-82.8667,25.54,89,30,1.37,PA,1693471167
390,raisen,23.3333,77.8,32.5,39,27,1.04,IN,1693471168
391,jacksonville,30.3322,-81.6556,26.06,85,0,4.63,US,1693471168
392,vadso,70.0744,29.7487,15.09,77,20,5.66,NO,1693471168
393,ugoofaaru,5.6667,73.0,27.65,74,100,10.69,MV,1693471169
394,natitingou,10.3042,1.3796,25.04,78,100,3.02,BJ,1693471169
395,campana,-34.1687,-58.9591,9.5,10,14,2.54,AR,1693471169
396,tralee,52.2704,-9.7026,16.14,88,100,5.14,IE,1693471169
397,ampanihy,-24.7,44.75,28.63,21,0,1.91,MG,1693471170
398,freetown,8.484,-13.2299,26.36,76,77,0.2,SL,1693471024
399,phongsali,21.6833,102.1058,26.16,55,63,0.51,LA,1693471171
400,simplicio mendes,-7.8539,-41.9103,22.14,43,0,1.69,BR,1693471171
401,pak phanang,8.3511,100.202,34.01,58,99,1.78,TH,1693471172
402,bentiu,9.2333,29.8333,22.69,88,100,1.5,SS,1693471172
403,goslar,51.9043,10.4277,15.32,84,63,6.2,DE,1693471172
404,sechura,-5.5569,-80.8222,19.51,84,38,2.45,PE,1693471172
405,sabang,5.8933,95.3214,28.56,77,96,10.26,ID,1693471173
406,cooper's town,26.8667,-77.5167,29.5,79,94,10.0,BS,1693471173
407,partenit,44.578,34.3446,26.99,72,4,2.01,UA,1693471173
408,upata,8.0086,-62.3989,23.44,94,60,1.51,VE,1693471174
409,fukuecho,32.6881,128.8419,26.2,94,75,7.72,JP,1693471174
410,kabalo,-6.05,26.9167,31.88,24,65,3.14,CD,1693471174
411,belomorsk,64.5232,34.7668,13.45,92,100,4.11,RU,1693471175
412,mahanoro,-19.9,48.8,23.76,60,77,3.02,MG,1693471175
413,lerwick,60.1545,-1.1494,15.0,85,17,4.44,GB,1693471175
414,junin de los andes,-39.9504,-71.0694,-0.05,86,100,3.08,AR,1693471176
415,cascais,38.6979,-9.4215,22.25,72,20,19.67,PT,1693471176
416,nogliki,51.8333,143.1667,11.64,98,100,8.11,RU,1693471176
417,burnie,-41.0667,145.9167,10.81,82,26,5.84,AU,1693471177
418,sao paulo de olivenca,-3.3783,-68.8725,23.14,81,50,0.71,BR,1693471177
419,soufriere,13.8562,-61.0566,26.05,93,77,5.52,LC,1693471177
420,hilo,19.7297,-155.09,23.86,99,82,1.34,US,1693471178
421,slave lake,55.2834,-114.769,17.99,72,0,8.23,CA,1693471178
422,aasiaat,68.7098,-52.8699,2.57,88,100,8.6,GL,1693471178
423,ouesso,1.6136,16.0517,31.67,46,39,1.73,CG,1693471179
424,malango,-2.9627,119.9001,24.48,75,57,2.26,ID,1693471179
425,aripuana,-9.1667,-60.6333,21.95,91,39,0.81,BR,1693471179
426,coyutla,20.25,-97.65,23.95,78,50,2.06,MX,1693471179
427,tayu,-6.5397,111.0518,28.39,68,5,4.85,ID,1693471180
428,tshabong,-26.05,22.45,24.98,19,1,8.41,BW,1693471181
429,haverfordwest,51.8017,-4.9691,17.53,91,100,0.89,GB,1693471181
430,zhezqazghan,47.7833,67.7667,12.32,82,75,14.0,KZ,1693471181
431,port augusta,-32.5,137.7667,11.69,77,12,4.47,AU,1693471182
432,san antonio,29.4241,-98.4936,27.86,49,0,1.54,US,1693471182
433,kununurra,-15.7667,128.7333,34.99,10,31,1.03,AU,1693471049
434,souillac,-20.5167,57.5167,24.21,64,75,4.63,MU,1693471182
435,minas de marcona,-15.2119,-75.1103,11.66,90,53,5.87,PE,1693471183
436,lazaro cardenas,17.9583,-102.2,26.03,88,81,1.7,MX,1693471183
437,bardai,11.65,7.2333,25.65,74,100,4.72,NG,1693471183
438,rijau,11.103,5.2507,26.46,75,69,4.34,NG,1693471183
439,aykhal,66.0,111.5,4.76,67,100,9.28,RU,1693471184
440,calingasta,-31.3308,-69.4078,9.89,36,0,1.37,AR,1693471184
441,lucapa,-8.4192,20.7447,30.61,17,1,3.52,AO,1693471184
442,bintulu,3.1667,113.0333,33.23,70,20,3.13,MY,1693471185
443,port saint john's,-31.6229,29.5448,28.08,33,0,3.0,ZA,1693471185
444,soc trang,9.6033,105.98,30.43,68,100,5.24,VN,1693470931
445,elkins,38.9259,-79.8467,13.27,99,100,1.36,US,1693471186
446,hakha,22.65,93.6167,21.73,87,75,0.43,MM,1693471186
447,benghazi,32.1167,20.0667,29.44,43,5,0.14,LY,1693471186
448,bambari,5.768,20.6757,26.19,83,100,1.59,CF,1693471186
449,mount gambier,-37.8333,140.7667,10.21,76,56,3.34,AU,1693471187
450,at taj,24.2049,23.2857,37.8,13,0,3.33,LY,1693471188
451,fonte boa,-2.4959,-66.2662,23.91,71,100,0.99,BR,1693471188
452,micheweni,-4.9667,39.8333,27.28,67,20,5.15,TZ,1693471188
453,ancud,-41.8697,-73.8203,7.59,85,100,6.11,CL,1693471189
454,klaksvik,62.2266,-6.589,10.51,75,100,4.65,FO,1693471188
455,egilsstadir,65.2653,-14.3948,7.95,93,100,1.54,IS,1693471189
456,libreville,0.3925,9.4537,25.01,83,75,4.63,GA,1693471189
457,waddan,29.1614,16.139,34.11,26,6,7.0,LY,1693471190
458,geraldton,-28.7667,114.6,28.23,23,0,5.14,AU,1693471132
459,pangoa,-12.1167,-73.0,20.95,89,64,1.28,PE,1693471190
460,abilene,32.4487,-99.7331,25.49,48,0,2.57,US,1693471191
461,toliara,-23.35,43.6667,26.46,42,0,5.07,MG,1693471191
462,buenos aires,-34.6132,-58.3772,11.08,47,10,3.58,AR,1693470977
463,mariinsk,56.2139,87.7472,25.92,54,38,3.94,RU,1693471192
464,chirilagua,13.2203,-88.1386,23.71,89,74,1.08,SV,1693471192
465,mandvi,22.8333,69.3667,29.09,64,90,5.16,IN,1693471087
466,fuding,27.3273,120.214,26.95,87,100,1.69,CN,1693471193
467,aioun,16.6614,-9.6149,31.12,52,100,4.96,MR,1693471193
468,greenville,35.6127,-77.3663,22.09,99,100,8.75,US,1693471193
469,banda aceh,5.5577,95.3222,29.92,66,100,7.58,ID,1693470788
470,porto cristo,39.5395,3.333,27.58,60,0,3.03,ES,1693471194
471,nieuw nickerie,5.95,-56.9833,26.25,85,1,3.29,SR,1693471194
472,mahebourg,-20.4081,57.7,25.14,64,75,4.63,MU,1693471194
473,yeed,4.55,43.0333,32.23,34,5,9.6,SO,1693471195
474,puerto baquerizo moreno,-0.9,-89.6,23.94,83,15,5.88,EC,1693471195
475,northam,51.0333,-4.2167,17.39,96,100,4.24,GB,1693471195
476,bethanie,-26.4833,17.15,25.2,29,0,8.18,NA,1693471195
477,cristinapolis,-11.4756,-37.7553,20.49,95,23,1.13,BR,1693471196
478,palembang,-2.9167,104.7458,35.7,28,38,3.18,ID,1693470603
479,valente,-11.4122,-39.4619,18.36,97,5,1.54,BR,1693471196
480,salekhard,66.53,66.6019,16.63,47,99,4.96,RU,1693470919
481,eureka,40.8021,-124.1637,16.34,94,27,0.45,US,1693471197
482,khorixas,-20.3667,14.9667,28.18,23,0,0.44,NA,1693471197
483,watsa,3.0372,29.5355,24.82,62,88,1.44,CD,1693471197
484,punta del este,-34.9667,-54.95,11.6,91,0,1.79,UY,1693471198
485,quellon,-43.1167,-73.6167,6.14,93,100,2.57,CL,1693471198
486,pucheng,27.9233,118.5333,28.5,76,99,2.07,CN,1693471199
487,soe,-9.8607,124.284,22.35,41,40,3.75,ID,1693471199
488,taoudenni,22.6783,-3.9836,39.64,20,100,4.4,ML,1693471199
489,enid,36.3956,-97.8784,20.73,76,0,2.57,US,1693471200
490,saynshand,44.8824,110.1163,24.22,28,14,2.26,MN,1693471200
491,dingwall,57.5953,-4.4272,15.49,83,100,1.09,GB,1693471201
492,islamkot,24.6997,70.177,34.48,39,6,6.39,PK,1693471202
493,tutoia,-2.7619,-42.2744,26.35,74,63,5.92,BR,1693471202
494,general villegas,-35.0328,-63.0125,5.24,43,42,2.14,AR,1693471203
495,wynyard,-41.0,145.7167,6.66,82,18,5.49,AU,1693471203
496,amble,55.3333,-1.5833,16.42,72,52,1.03,GB,1693471204
497,lubuklinggau,-3.3,102.8667,32.82,46,91,0.95,ID,1693471204
498,forster,-32.1667,152.5167,14.65,87,25,1.3,AU,1693471205
499,ponnani,10.767,75.9252,31.62,70,42,4.75,IN,1693471206
500,mount pearl,47.5166,-52.7813,22.3,96,100,11.83,CA,1693471206
501,akrehamn,59.2667,5.1833,17.14,72,0,0.0,NO,1693471207
502,galliano,29.4422,-90.2992,25.0,88,40,0.0,US,1693471207
503,kalevala,65.2,31.1667,13.18,95,100,4.32,RU,1693471208
504,dunedin,-45.8742,170.5036,9.33,72,1,1.95,NZ,1693470946
505,valentin gomez farias,28.2167,-106.5833,18.29,39,53,1.96,MX,1693471209
506,pacific grove,36.6177,-121.9166,16.8,87,0,2.06,US,1693471209
507,sibut,5.718,19.0739,27.54,80,42,0.49,CF,1693471210
508,hampton bays,40.869,-72.5176,19.36,80,0,3.6,US,1693471210
509,nantucket,41.2835,-70.0995,19.44,83,0,6.69,US,1693471211
510,nelson bay,-32.7167,152.15,17.78,86,5,2.68,AU,1693471211
511,alesund,62.4723,6.1549,17.09,88,75,3.6,NO,1693471212
512,darwin,-12.4611,130.8418,28.99,52,0,4.12,AU,1693471212
513,ejura,7.3856,-1.3562,24.91,89,100,2.64,GH,1693471212
514,naze,28.3667,129.4833,27.51,89,88,7.96,JP,1693471116
515,mwinilunga,-11.7358,24.4293,26.36,27,0,2.8,ZM,1693471213
516,soata,6.3337,-72.6828,14.17,81,29,2.93,CO,1693471214
517,taulaga,-11.0553,-171.0883,27.93,79,32,7.49,AS,1693471214
518,holualoa,19.6228,-155.9522,26.04,82,0,5.66,US,1693471215
519,al burayqah,30.4062,19.5739,30.06,41,9,4.68,LY,1693471215
520,bel ombre,-4.6167,55.4167,28.91,65,20,7.72,SC,1693471216
521,wagar,16.1525,36.2032,30.65,49,50,5.16,SD,1693471216
522,arkhangel'sk,64.5401,40.5433,13.13,93,100,2.01,RU,1693471217
523,bakori,11.5544,7.4243,25.5,76,100,4.49,NG,1693471217
524,soria,41.6667,-2.6667,19.45,37,1,1.83,ES,1693471217
525,wanlaweyn,2.6185,44.8938,33.25,39,58,8.86,SO,1693471218
526,ketchikan,55.3422,-131.6461,14.26,94,100,0.0,US,1693471218
527,khovd,48.0056,91.6419,25.63,23,10,3.4,MN,1693471015
528,tsiombe,-25.3,45.4833,27.63,35,0,3.81,MG,1693471219
529,kristinestad,62.2743,21.376,15.61,98,100,4.13,FI,1693471220
530,mildura,-34.2,142.15,13.93,68,81,4.82,AU,1693471220
531,dombarovskiy,50.7587,59.5386,15.57,44,94,9.62,RU,1693471220
532,urumqi,43.801,87.6005,32.53,21,0,4.0,CN,1693471124
533,santo antonio,-6.3106,-35.4789,21.4,95,14,2.48,BR,1693471221
534,ramsey,45.0333,-93.0835,18.03,78,0,3.09,US,1693471221
535,jiuquan,39.7432,98.5174,30.97,15,82,5.18,CN,1693471221
536,saint-pierre,-21.3393,55.4781,24.82,65,75,9.77,RE,1693471075
537,carrickfergus,54.7158,-5.8058,15.86,84,40,3.6,GB,1693471222
538,amga,60.8953,131.9608,22.82,58,0,1.64,RU,1693471223
539,la huacana,18.9667,-101.8167,22.47,96,88,0.39,MX,1693471223
540,la foa,-21.7108,165.8276,21.08,93,62,1.02,NC,1693471223
541,rabaul,-4.1967,152.1721,25.9,72,92,8.19,PG,1693471223
542,bomdila,27.25,92.4,19.05,91,88,1.32,IN,1693471224
543,siuna,13.7332,-84.7773,23.57,98,10,0.95,NI,1693471224
544,al bayda',32.7627,21.7551,27.15,37,0,4.02,LY,1693471224
545,paita,-5.0892,-81.1144,19.47,86,58,3.22,PE,1693471224
546,coquimbo,-29.9533,-71.3436,9.85,87,0,1.54,CL,1693471225
547,lodja,-3.4833,23.4333,35.17,29,6,1.21,CD,1693471225
548,bria,6.5423,21.9863,22.76,92,100,0.4,CF,1693471225
549,gedo,9.0167,37.45,16.22,82,78,0.87,ET,1693471226
550,kuala belait,4.5833,114.1833,32.09,68,72,4.59,BN,1693471226
551,sherpur,25.0188,90.0175,36.47,44,26,3.46,BD,1693471227
552,ji'an,27.1172,114.9793,25.55,75,93,5.48,CN,1693471227
553,huarmey,-10.0681,-78.1522,18.87,86,35,4.0,PE,1693471227
554,rio grande,-32.035,-52.0986,13.66,86,75,3.0,BR,1693471227
